capability_bucket,demand_signal,role_titles_unlocked,portfolio_keywords,proof_asset,build_output,priority,gap_risk,career_intelligence_os_coverage
Enterprise Cloud Foundations,High,"Cloud Analyst, Cloud Engineer, Platform Analyst, Technology Analyst","AWS/Azure/GCP, IAM, VPC/VNet, compute, storage, monitoring, cost, logging",Cloud architecture diagram + secure deployment README,"Add a cloud architecture page with IAM, logs, cost, and monitoring",P0,High if only listed as a skill,"Referenced — keyword matching, interview prep topics"
IAM + Zero Trust,High,"Cybersecurity Analyst, Technology Risk Analyst, Cloud Security Analyst","MFA, RBAC, least privilege, conditional access, privileged access, identity lifecycle",Mini IAM control matrix + sample access review,Publish a table mapping roles → permissions → risks → controls,P0,High across banks/healthcare/telecom,"Referenced — scoring weights, interview prep topics"
Security Monitoring + Incident Response,High,"SOC Analyst, Cyber Defense Analyst, Security Analyst, GRC/Cyber Risk","SIEM, Splunk/Sentinel, detections, log analysis, triage, alert tuning, IR lifecycle",Synthetic auth log detection dashboard,Create 5 sample detections and explain false-positive reduction,P0,High if no screenshots or case study,"Referenced — keyword extraction, interview prep"
GRC / Controls / Audit Evidence,High,"Technology Risk Analyst, ITGC Analyst, Cyber Risk Consultant, Compliance Analyst","NIST CSF, SOC 2, ISO 27001, SOX ITGC, risk register, evidence, audit readiness",Cloud app control matrix + evidence checklist,"Add security evidence pack: controls, owner, evidence, frequency",P0,High for finance/healthcare/consulting,"Referenced — interview prep, gap matrix"
SQL + Python Data Automation,High,"Data Analyst, Business Analyst, Data Engineer, Operations Analyst","SQL joins, CTEs, window functions, Python ETL, APIs, pandas, data cleaning",Job intelligence parser / keyword scoring script,Build parser that scores job descriptions and outputs target keywords,P0,Very high if GitHub has no code proof,"Full — parser, scoring, keyword extraction"
Dashboarding + KPI Storytelling,High,"Data Analyst, Product Analyst, Risk Analyst, Operations Analyst","Power BI, Tableau, KPIs, metrics, trend analysis, root-cause analysis, business impact",Portfolio dashboard with role/company scoring,"Show a dashboard: companies, roles, contacts, sponsor signals, follow-ups",P0,High if portfolio is only text,Full — Streamlit dashboard with KPIs
AI Automation + RAG / Context Engineering,High,"AI Automation Analyst, AI Engineer, FDE-adjacent, Business Technology Analyst","LLM, RAG, embeddings, vector DB, prompt engineering, context engineering, evals",RAG assistant over resume + projects + job descriptions,Build a local/demo RAG that answers: why am I fit for this role?,P0,High if claiming AI without demo,"Partial — rule-based automation, keyword intelligence"
AI Risk + Agentic Reliability,High,"AI Governance Analyst, Cyber AI Analyst, Technology Risk, Security Consultant","AI risk scoring, guardrails, evals, hallucination checks, audit trail, human-in-loop",AI Agent Risk Scoring case study,Add ARE/Risk Score page with a simple scoring rubric,P0,This is your differentiator,Gap — future project (AI Agent Risk Scoring Console)
Business Systems Analysis,High,"Business Analyst, Systems Analyst, Technology Analyst, Product Analyst","requirements, user stories, acceptance criteria, process maps, stakeholder discovery",Before/after process map + requirements brief,Create one business case: manual recruiting pipeline → automated workflow,P1,Medium if no BA artifacts,"Partial — outreach templates, pipeline workflow"
Agile + Delivery,Medium,"Project Coordinator, Technology Analyst, Scrum-adjacent Analyst","Jira, backlog, sprint planning, blockers, demos, acceptance tests, documentation",Mini project board screenshot or markdown backlog,Add GitHub project board/backlog with tasks and acceptance criteria,P1,Medium,Gap — backlog artifact not included
API + Workflow Integration,Medium,"Automation Analyst, Integration Analyst, Cloud/Data Analyst","REST APIs, webhooks, n8n/Zapier, GitHub Actions, cron, scheduling",Automated job tracker update workflow,Show one workflow: job URL → parsed → scored → tracker row,P1,Medium,Partial — modular Python pipeline
Enterprise Communication,High,All analyst/consulting roles,"stakeholder updates, executive summaries, STAR stories, documentation, risk explanation",6 STAR stories + 1-page case study format,"Write 6 stories: automation, security, data, conflict, learning, leadership",P0,High if interview answers are unstructured,Partial — outreach angle generation
